year,treated,synthetic,effect,post_treatment
2010,2.426,2.297842558696476,0.12815744130352424,0
2011,2.374,2.2123519733417214,0.1616480266582787,0
2012,2.366,2.2016823553625016,0.16431764463749854,0
2013,2.129,2.1452622011435833,-0.016262201143583344,0
2014,2.086,2.076899535422444,0.009100464577555645,0
2015,2.069,2.0444900830467505,0.024509916953249444,0
2016,2.066,1.9847029168896375,0.08129708311036232,0
2017,2.054,1.9436778747259955,0.11032212527400431,0
2018,2.036,1.9213654381685499,0.11463456183145015,0
2019,1.963,1.8830685165617276,0.0799314834382725,0
2020,1.964,1.8440103464550222,0.11998965354497781,0
2021,1.94,1.796822697528795,0.14317730247120486,1
2022,1.9,1.7495525503222604,0.1504474496777395,1
2023,1.86,1.6820374554095958,0.17796254459040428,1
2024,1.83,1.6301496557909647,0.19985034420903536,1
